date,day_name,total_picks,wins,losses,win_rate,total_stake,total_return,profit_loss,roi
2025-08-02,Saturday,20,12,8,60.0,145.6,190.76,45.13,31.0
2025-08-03,Sunday,18,14,4,77.8,127.4,213.54,86.13,67.6
2025-08-04,Monday,2,2,0,100.0,9.6,16.25,6.63,68.8
2025-08-09,Saturday,20,12,8,60.0,149.3,163.77,14.42,9.7
2025-08-10,Sunday,15,13,2,86.7,108.1,186.26,78.19,72.3
2025-08-15,Friday,3,2,1,66.7,24.0,33.37,9.37,39.1
2025-08-16,Saturday,19,14,5,73.7,148.1,225.01,76.88,51.9
2025-08-17,Sunday,21,14,7,66.7,149.7,245.35,95.69,63.9
2025-08-21,Thursday,1,0,1,0.0,8.0,0,-8.0,-100.0
2025-08-23,Saturday,18,10,8,55.6,137.2,146.6,9.4,6.8
2025-08-24,Sunday,17,12,5,70.6,123.7,165.3,41.61,33.6
2025-08-25,Monday,2,1,1,50.0,16.0,17.55,1.55,9.7
2025-08-28,Thursday,3,1,2,33.3,24.0,17.87,-6.13,-25.5
2025-08-30,Saturday,19,11,8,57.9,146.1,193.19,47.1,32.2
2025-08-31,Sunday,17,14,3,82.4,124.0,197.4,73.38,59.2
2025-09-02,Tuesday,9,6,3,66.7,64.8,100.34,35.52,54.8
2025-09-03,Wednesday,11,3,8,27.3,83.3,51.87,-31.4,-37.7
2025-09-06,Saturday,17,11,6,64.7,120.6,152.42,31.78,26.3
2025-09-07,Sunday,20,12,8,60.0,156.0,195.67,39.7,25.5
